ID,Study citation,Family,Subfamily,Operational contribution and branches,Consider when,Finite-sample evidence,Alternative comparison,Robustness,Computational / scalability evidence,Implementation availability
11,Alexopoulos et al. (2018),Family 1 - Precision or uncertainty sufficiency,Quantile estimation,"Sequest for non-extreme quantiles, with absolute/relative precision and real-time/file modes",Non-extreme quantile; relative/absolute precision,"✓ 1,000 replications in two queues, several quantiles, and two precision regimes, with coverage and post-warm-up size",✓ Direct comparison with Sequem in the same tables and metrics,✓ Non-normality: Two queueing processes use distinct service-time distributions. ✓ Autocorrelation/dependence: Two queueing processes contrast dependence patterns. — Nonstationarity. — Model misspecification.,"✓ Post-warm-up size evaluated systematically by process, quantile, and regime; time not reported","~ Java package, GUI, and two modes are reported; standalone versions/repository were still under development and replication artifacts are missing"
12,Alexopoulos et al. (2018),Family 1 - Precision or uncertainty sufficiency,Quantile estimation,"Sequem for extreme quantiles, revised and compared with Sequest",Extreme quantile; revised precision rule,"✓ 1,000 replications in two queues, several quantiles, and two precision regimes, with coverage and post-warm-up size",✓ Direct comparison with Sequest in the same tables and metrics,✓ Non-normality: Queueing processes and quantiles exercise nonnormal forms. ✓ Autocorrelation/dependence: Queueing processes exercise distinct dependence patterns. — Nonstationarity. — Model misspecification.,✓ Post-warm-up size evaluated systematically; total including warm-up and time not reported,"~ Mechanism is described, but the complete pseudocode is deferred to 2017 and public software was still under development"
13,Alexopoulos et al. (2019a),Family 1 - Precision or uncertainty sufficiency,Quantile estimation,"Sequest demonstrated in software; branches: no precision, absolute precision, and relative precision",Stationary quantile; relative/absolute precision,~ One trajectory and several quantiles/configurations; does not estimate coverage,✓ Sequest and Sequem appear in the same scenario/table,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,~ Acquired sizes and precision cost in one realization,✓ Public cross-platform software and interface described
14,Alexopoulos et al. (2019a),Family 1 - Precision or uncertainty sufficiency,Quantile estimation,Sequem for extreme upper quantiles,Extreme upper quantile; sequential precision,~ Results in one trajectory; coverage claims come from earlier works,✓ Compared with Sequest in the same scenario/table,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Sizes observed in the table, without scalability study",✓ Included in selectable public software
15,Alexopoulos et al. (2019b),Family 1 - Precision or uncertainty sufficiency,Quantile estimation,"Sequest architecture; no-precision, absolute-precision, and relative-precision branches",Stationary quantile; relative/absolute precision,"~ 1, 000 replications and seven problems cover only the no-precision and relative-precision branches; the absolute branch was not evaluated",~ Common comparison between no precision and relative precision; the absolute branch was not compared,"✓ Non-normality: Nonnormal forms were deliberately varied. ✓ Autocorrelation/dependence: Dependence structures were deliberately varied. ~ Nonstationarity: Transient behavior provides indirect, limited evidence. — Model misspecification.","✓ Sample size evaluated systematically across problems/quantiles, reaching 57.5 million","✓ Algorithm, GUI, and automated/file modes reported"
16,Al-Sumaiti et al. (2019),Family 4 - Operational-state sufficiency,,"Moment-based MCS gate in the PV framework; WBD (4 moments), GEVD (2), and enhanced-beta branches",PV output; moment-based gate,— None reported.,— None reported.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Sample size may vary, but there is no systematic cost/scalability evaluation","~ Tools and principle reported, but stopping and singular cases are not reproducible"
17,Bandyopadhyay et al. (2017),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Modified two-stage procedure for a fixed-width CI of log θ,Log odds ratio; two-stage absolute precision,"✓ 10,000 repetitions across multiple d/pilots, with substantial undercoverage",✓ Compared with the purely sequential procedure under common scenarios,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Expected sizes/successes evaluated across multiple d and pilots; joint cost not reported,"~ Rule described, but variance, critical value, (C,k), and boundaries prevent unambiguous reproduction"
18,Bandyopadhyay et al. (2017),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Purely sequential first-passage procedure after each success,Log odds ratio; sequential absolute precision,"✓ 10,000 repetitions across multiple d/pilots, generally with higher but still low coverage",✓ Compared with the two-stage procedure under common scenarios,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Expected sizes/successes evaluated across multiple d and pilots; joint cost not reported,"~ First-passage rule is explicit, but arm-A acquisition and singular states are unresolved"
19,Bandyopadhyay et al. (2021),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,"Fixed-width CI for θ(P), two-stage procedure",Cumulative-logit contrast; two-stage absolute precision,"✓ Simulation across multiple r, d, and configurations reports coverage and expected size",✓ Compared with the purely sequential mechanism for the same target and scenarios,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Expected sample size evaluated systematically across multiple d/configurations,"~ Executable formulas, but no code and incomplete choice of γ"
20,Bandyopadhyay et al. (2021),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,"Fixed-width CI for ρ, two-stage procedure",Stochastic-superiority contrast; two-stage absolute precision,"✓ Simulation results across multiple r, d, and configurations are reported for ρ",✓ Compared with the sequential mechanism for ρ in the same scenarios,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Expected size evaluated systematically across multiple scenarios and half-widths,"~ Base formulas exist, but variance substitution must be completed and there is no code"
21,Bandyopadhyay et al. (2021),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,"Fixed-width CI for θ(P), purely sequential procedure",Cumulative-logit contrast; sequential absolute precision,"✓ Simulation across multiple r, d, and configurations reports coverage and expected size",✓ Compared with the two-stage procedure for the same target and scenarios,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Expected sample size evaluated systematically across multiple d/configurations,"~ Explicit boundary, but no code and no detailed operational cadence"
22,Bandyopadhyay et al. (2021),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,"Fixed-width CI for ρ, purely sequential procedure",Stochastic-superiority contrast; sequential absolute precision,✓ Simulation reports coverage and expected size in multiple scenarios,✓ Compared with the two-stage version of ρ in the same scenarios,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Expected size evaluated across multiple half-widths and configurations,"~ Infrastructure reconstructible by analogy, but complete version and code are not supplied"
23,Batur et al. (2021),Family 2 - Discrete-decision sufficiency,,QSE - quantile selection with equivalence and set output,Quantile selection; equivalence/set output,"✓ PCS and ANO evaluated across multiple distributions, quantiles, δ, numbers of alternatives, and correlations","✓ Comparisons with QS/GQ/LD are reported, with symmetry restrictions explicit",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"✓ ANO evaluated systematically across multiple K, q, δ, and correlations, although its exact unit is NR",✓ Code repository for QSE/QS reported with URL
24,Batur et al. (2021),Family 2 - Discrete-decision sufficiency,,QS - quantile selection without equivalence and unit output,Quantile selection; unit output,"✓ PCS and ANO evaluated across multiple distributions, quantiles, δ, alternatives, and correlations",✓ Comparisons with QSE/GQ/LD in common configurations are reported,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"✓ ANO evaluated systematically across multiple sizes/configurations, despite the unit being NR",✓ Code repository for QSE/QS reported with URL
25,Chattopadhyay (2020),Family 1 - Precision or uncertainty sufficiency,Mean estimation,Two-stage stratified procedure with SD scale,Stratified mean; SD scale,"✓ 10,000 repetitions in two finite populations and two α levels; SD coverage is below nominal in all four cases","✓ Direct comparison with GMD under the same cases, levels, and metrics",✓ Non-normality: Gamma and lognormal distributions were compared. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Sample size/cost quantified in the two populations and two confidence levels,"~ Formulas supplied, but code, integerization, fallbacks, and an unambiguous pilot definition are missing"
26,Chattopadhyay (2020),Family 1 - Precision or uncertainty sufficiency,Mean estimation,Two-stage stratified procedure with GMD scale,Stratified mean; GMD scale,"✓ 10,000 repetitions in two populations and two α values; includes severe coverage deterioration in Case 2","✓ Direct comparison with SD under the same cases, levels, and metrics",✓ Non-normality: Gamma and lognormal distributions were compared. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Final size quantified in multiple populations/levels; paired GMD cost not analyzed separately,"~ Procedure described by formulas, but without code, calibration, rounding, or fallbacks"
27,Cho (2019),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,"Fixed-width CI for the risk ratio, main two-stage procedure",Risk ratio; two-stage fixed width,"✓ 5,000 replications across multiple γ, φ, d, and pilots report coverage and E(N)",— None reported.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ E(N) evaluated systematically across half-widths and pilot sizes; theoretical cost bounds contested,"~ Flow and equations given, but no code; rule is undefined in pilot states and has index/rounding ambiguities"
28,Cho et al. (2020),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Sequential fixed-width CI for the risk ratio,Risk ratio; sequential fixed width,"✓ 5,000-replicate experiments span several widths, levels and risk ratios, with coverage and sample-size results, including undercoverage",~ Likelihood intervals and reciprocal orientations are compared only narrowly; no fully specified alternative stopping rule is evaluated under a common stopping design,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Sample cost E(N) and oracle n* are reported across multiple widths/settings,"~ Equations identify the procedure, but no code, pseudocode, cap, principled m, or complete boundary handling is supplied"
29,Cui et al. (2016),Family 2 - Discrete-decision sufficiency,,Coupled sequential TBD detection and terminal position/trajectory estimation (DO/DPEC/DTEC/DPTEC; regular/truncated branches),Target detection/trajectory; coupled sequential rule,"✓ Monte Carlo evaluates finite SNR ranges, weights and scan counts, with detection, joint classification-failure and ASN outcomes",✓ Sequential variants are compared with four-frame FSS under common simulated radar settings,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. ✓ Model misspecification: Mismatch between design and actual SNR was deliberately varied.,✓ ASN is quantified across hypotheses/SNR settings and compared with the four-frame workload,"~ Formulae, flowcharts and recursions identify operations, but code, full executable calibration, time/memory analysis and boundary conventions are unreported"
30,Dang et al. (2021),Family 5 - Resource-aware acquisition and stopping,,ALAPI active-learning estimation of a failure-probability function,Failure-probability function; active learning,"✓ Three finite computational examples report budgets, call counts and component estimates against IASS/NISS/ASS where available","✓ Identified alternatives are evaluated in shared examples, although Example 3 comparison is restricted to the constant component",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Expensive-function call counts are quantified across multiple examples and against alternatives,"~ The algorithm and GP setup are described and MATLAB code/model are available only on request; seeds, exact routine and several termination safeguards are unreported"
31,De et al. (2019),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Two-stage fixed-width CI for common equicorrelation,Common equicorrelation; two-stage fixed width,"✓ Exact calculations and 10^5-replicate simulations cover multiple k,m,ρ,α,d settings",✓ The fixed-width rule is compared numerically with transformed bounded-width procedures after scenario-specific calibration,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Expected terminal size and its efficiency relative to n* are derived/evaluated across multiple parameter and pilot settings,"~ Closed-form batch instructions and named numerical integration methods are given, but no code/package or executable supplement is located"
32,De et al. (2019),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,"Transformed bounded-width CIs for common equicorrelation (g1 exact/approximate; g2,g3,g4 adaptive branches)",Common equicorrelation; transformed bounded width,"✓ 10^5-replicate studies vary m,ρ,δ and compare coverage, size and width across transformations",✓ g1 exact/approximate and adaptive g2/g3/g4 branches are compared under common numerical scenarios,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Sample sizes and first-/second-order efficiency are quantified across branches and settings,"~ Transformation, horizon and inversion formulas are reproducible conceptually, but no code/package is supplied and the Broyden implementation lacks a function/package locator"
33,Dong et al. (2019),Family 1 - Precision or uncertainty sufficiency,Mean estimation,"Absolute-precision STS, with STSb/STSs/STSm branches and continuous/grid execution",Steady-state mean; absolute precision,"✓ Multiple ε, variants, and calibrations in 1,000 M/M/1 replications, including unfavorable results (D-C01-FS)",✓ Sequential quantile versus Student and STSb/STSs/STSm in the same model (D-C01-AC),— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Horizon, time, and storage compared, but without systematic scaling analysis (D-C01-CX)",~ Algorithm 1 only for absolute STSb; code and executable reference not located (D-C01-IM)
34,Dong et al. (2019),Family 1 - Precision or uncertainty sufficiency,Mean estimation,Relative-precision STS extension with multiplicative output,Steady-state mean; magnitude-relative precision,~ One relative experiment with positive target α=4; coverage varies with ε (D-C02-FS),— None reported.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,— None reported.
35,Fitts (2023),Family 1 - Precision or uncertainty sufficiency,Mean estimation,"Absolute-width SSR for mean differences, two-group/difference-score branches and n_min/α′ calibration",Mean difference; absolute precision,✓ Coverage and stopping size evaluated on broad grids and multiple minimum sizes (F-C03-FS),✓ Common comparison with FSR with/without assurance and nominal monitoring (F-C03-AC),— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Stopping/sample size evaluated on grids, without systematic computational cost (F-C03-CX)","✓ Executable,  C code,  manual,  examples,  and R code are reported with locator (F-C03-IM)"
36,Flegal et al. (2015),Family 1 - Precision or uncertainty sufficiency,Cross-cutting,"Relative-magnitude fixed-width rule T₂, with expectation/quantile branches and marginal conjunction",MCMC estimation; magnitude-relative precision,"✓ Repeated sequential studies at multiple ε, samplers, and targets, shared pairwise across rules (L-C04-FS)",✓ Paired comparison with T₁ and T₃ on the same draws (L-C04-AC),"— Non-normality. ~ Autocorrelation/dependence: Distinct chains were used, but autocorrelation was not varied in controlled levels. — Nonstationarity. — Model misspecification.","~ Iterations vary by sampler and tolerance, without systematic resource/scaling evaluation (L-C04-CX)","~ Procedure and packages are named, but complete code, versions, seeds, and KDE details are missing (L-C04-IM)"
37,Flegal et al. (2015),Family 1 - Precision or uncertainty sufficiency,Cross-cutting,"Relative-standard-deviation fixed-width rule T₃, with expectation/quantile branches and marginal conjunction",MCMC estimation; scale-relative precision,"✓ Repeated sequential studies at multiple ε, samplers, expectations, and quantiles (L-C05-FS)","✓ Paired comparison with T₁ and T₂, plus untabulated i.i.d. in one study (L-C05-AC)","— Non-normality. ~ Autocorrelation/dependence: Distinct dependence mechanisms were used, but autocorrelation strength was not controlled. — Nonstationarity. — Model misspecification.","~ Hundreds of thousands of iterations and variation by sampler are reported, without formal scaling (L-C05-CX)","~ Batch means, KDE, and packages are described; bandwidth, options, versions, seeds, and fallback are missing (L-C05-IM)"
38,Gong et al. (2016),Family 1 - Precision or uncertainty sufficiency,Joint parameter estimation,"High-dimensional relative FWSR with LCBM, formal/current branches, CBM/LCBM/LCBM\(^*\), and alternative ESS",Joint MCMC estimation; scale-relative precision,"✓ 1, 000 stoppings at p=186 across multiple thresholds/estimators; fMRI adds a single demonstration (G-C06-FS)","✓ CBM/LCBM/LCBM\(^*\), ESS, and GD compared in a common scenario, with target differences explicit (G-C06-AC)",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Memory evaluated at distinct dimensions/loads and storage order derived; 1.22 MB and 84 MB results reported (G-C06-CX),"~ Complete CBM/LCBM pseudocodes, but scripts do not integrate the source and executed procedure/zero cases are uncertain (G-C06-IM)"
39,Gürel et al. (2025),Family 1 - Precision or uncertainty sufficiency,Joint parameter estimation,"Standard-error stopping in ACJ, coupled to inherited adaptive acquisition; S-TR40/35/30 and A-TR40-C40 branch",Object abilities; standard-error threshold,"✓ 3 sizes × 3 thresholds, 82 repetitions/cell, plus application",— None reported.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Object judgments evaluated at three sizes and three thresholds; applied human cost also quantified,"~ R environment/packages and ACJ software are mentioned, but code and executable specification are missing"
40,Hu (2021),Family 1 - Precision or uncertainty sufficiency,Mean estimation,"Multistage normal FWCI family P(ρ,k,ε), with Stein-type, ACR, Hall, and micro-batch branches",Normal mean; multistage fixed width,"✓ 10,000 replications at four d, plus directed condition analysis and illustration",✓ Identified variants compared under common scenarios and metrics,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. ✓ Model misspecification: Two structural conditions were deliberately perturbed.,"✓ Operations and sizes evaluated systematically at multiple d, k, and ρ","~ Eqs. (4)-(7) and the described flow provide an equation-reproducible procedure, but no code/package exists and operational details remain incomplete"
41,Hu (2022),Family 1 - Precision or uncertainty sufficiency,Mean estimation,"P₁(k,ρ): normal fixed-width interval with blocks until fractional gate and unit ACR until stopping",Normal mean; fractional/unit fixed width,"✓ 10,000 replications at three d, multiple k,ρ, plus illustration",✓ Common comparison with ACR (k=1) and evidence on operations/size; comparator in groups until the end also analyzed,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"✓ Number of operations and size evaluated at multiple d, k,ρ; asymptotic difference for groups until the end",✓ Operational rule of P₁ is reproducible through Eqs. (3.3)-(3.4) and specified output; code/software not supplied
42,Hu (2022),Family 3 - Risk or loss sufficiency,,"P₂(k,ρ): normal minimum-risk estimation with double-sequential policy",Normal mean; minimum risk,"✓ 10,000 replications at three costs c, multiple k,ρ, plus illustration",✓ Common comparison with ACR (k=1) and analysis of comparator in groups until the end,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"✓ Operations and size/risk evaluated at multiple c, k,ρ; asymptotic size difference supplied","~ Substantial equation-based instructions exist, but Eq. (4.6) prints T₁ and requires inferred correction T₂; no code/software"
43,Jiménez Rugama et al. (2018),Family 4 - Operational-state sufficiency,,"Variant A for first-order + total effect, with A.a and adaptive A.b/“Correlation 2” branch",Sensitivity indices; first-order and total-effect error bounds,"✓ 100 scramblings in two benchmarks and one applied formula, with errors/failures and costs","✓ A.a, A.b, B, and iid/bootstrap comparator evaluated, although iid comparison is confounded",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Cost formula and calls to f evaluated in several problems; A/A.b depend on dimension and horizons,"~ Algorithm 1 and equations provide partial pseudocode/procedure, but no code/package; singular states and A.b catch-up lack a rule"
44,Jiménez Rugama et al. (2018),Family 4 - Operational-state sufficiency,,"Variant B using replicated designs, first-order indices only",Sensitivity indices; first-order error bounds,"✓ 100 scramblings in two benchmarks and one applied formula, with errors/failures and costs",✓ Compared with A.a/A.b under the same problems and tolerance,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Cost 2·2^{m*} formally independent of d and empirically reported in several problems,"~ Algorithm 1/equations describe the procedure, but no code/package and rules for invalid finite states are missing"
45,Karmakar et al. (2019),Family 3 - Risk or loss sufficiency,,Sequential plug-in risk-efficient rule to estimate the fixed part of multivariate RCA,Multivariate RCA; plug-in risk,✓ Monte Carlo at multiple horizons and configurations,✓ Common comparison with fixed oracle,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,— None reported.
46,Kelley et al. (2019),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Sequential AIPE for Pearson with asymptotic Lee interval,Pearson correlation; absolute precision,"✓ Multiple levels, widths, correlations, and DGPs; includes undercoverage",✓ Compared with two alternative Pearson intervals,~ Non-normality: Only one gamma condition was evaluated beyond normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,"~ R/MBESS function demonstrated, without complete inventory"
47,Kelley et al. (2019),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Pearson-Corty-Corty AIPE,Pearson correlation; absolute precision,✓ Simulated in multiple normal and gamma conditions,✓ Compared with Pearson-Lee and Moinester-Gottfried,~ Non-normality: Only one gamma condition was evaluated beyond normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,"~ R code for methods is declared, without mapping by variant"
48,Kelley et al. (2019),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Pearson-Moinester-Gottfried AIPE,Pearson correlation; absolute precision,"✓ Multiple finite conditions, but only normal",✓ Compared with Pearson-Lee and Corty-Corty,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,"~ R code declared, without mapping by variant"
49,Kelley et al. (2019),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Sequential AIPE for Kendall τ,Kendall tau; absolute precision,✓ Multiple normal and gamma conditions,— None reported.,~ Non-normality: Only one gamma condition was evaluated beyond normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,"~ R code declared, without mapping by variant"
50,Kelley et al. (2019),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Sequential AIPE for Spearman ρs,Spearman correlation; absolute precision,✓ Multiple normal and gamma conditions,— None reported.,~ Non-normality: Only one gamma condition was evaluated beyond normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,"~ R code declared, without mapping by variant"
51,Kelley et al. (2019),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Sequential AIPE for ρ² - Bonett-Wright,Squared multiple correlation; absolute precision,"✓ Multiple k, ρ², widths, and levels",✓ Common comparison with Olkin-Finn,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,"~ R code declared, without mapping by variant"
52,Kelley et al. (2019),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Sequential AIPE for ρ² - Olkin-Finn,Squared multiple correlation; absolute precision,"✓ Multiple k, ρ², widths, and levels",✓ Common comparison with Bonett-Wright,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,"~ R code declared, without mapping by variant"
53,Hwang (2023),Family 3 - Risk or loss sufficiency,,"Robust two-stage procedure (U_c,X̄_{U_c})",Vector mean; two-stage sampling-cost trade-off,"✓ Seven costs, three true priors, and two loss matrices",✓ Compared with correct/misspecified N_c and A.P.O.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,— None reported.
